job,machine,btw,perm,perm_idx,betweenness_mean,signature
0,0,0.06555555555555556,"(0, 5, 0)",30,0.07950617283950619,2+1
0,1,0.08444444444444445,"(0, 5, 0)",30,0.07950617283950619,2+1
0,2,0.06555555555555556,"(0, 5, 0)",30,0.07950617283950619,2+1
1,2,0.1088888888888889,"(0, 5, 0)",30,0.07950617283950619,2+1
1,1,0.06666666666666667,"(0, 5, 0)",30,0.07950617283950619,2+1
1,0,0.1088888888888889,"(0, 5, 0)",30,0.07950617283950619,2+1
2,0,0.06555555555555556,"(0, 5, 0)",30,0.07950617283950619,2+1
2,1,0.08444444444444445,"(0, 5, 0)",30,0.07950617283950619,2+1
2,2,0.06555555555555556,"(0, 5, 0)",30,0.07950617283950619,2+1
0,0,0.07962962962962962,"(0, 5, 1)",31,0.08065843621399177,1+1+1
0,1,0.07962962962962962,"(0, 5, 1)",31,0.08065843621399177,1+1+1
0,2,0.07407407407407407,"(0, 5, 1)",31,0.08065843621399177,1+1+1
1,2,0.0962962962962963,"(0, 5, 1)",31,0.08065843621399177,1+1+1
1,1,0.07222222222222223,"(0, 5, 1)",31,0.08065843621399177,1+1+1
1,0,0.1037037037037037,"(0, 5, 1)",31,0.08065843621399177,1+1+1
2,0,0.07962962962962962,"(0, 5, 1)",31,0.08065843621399177,1+1+1
2,2,0.08518518518518518,"(0, 5, 1)",31,0.08065843621399177,1+1+1
2,1,0.05555555555555556,"(0, 5, 1)",31,0.08065843621399177,1+1+1
0,0,0.07407407407407407,"(0, 5, 2)",32,0.08065843621399177,1+1+1
0,1,0.07962962962962962,"(0, 5, 2)",32,0.08065843621399177,1+1+1
0,2,0.07962962962962963,"(0, 5, 2)",32,0.08065843621399177,1+1+1
1,2,0.1037037037037037,"(0, 5, 2)",32,0.08065843621399177,1+1+1
1,1,0.07222222222222223,"(0, 5, 2)",32,0.08065843621399177,1+1+1
1,0,0.0962962962962963,"(0, 5, 2)",32,0.08065843621399177,1+1+1
2,1,0.05555555555555556,"(0, 5, 2)",32,0.08065843621399177,1+1+1
2,0,0.08518518518518518,"(0, 5, 2)",32,0.08065843621399177,1+1+1
2,2,0.07962962962962962,"(0, 5, 2)",32,0.08065843621399177,1+1+1
0,0,0.1037037037037037,"(0, 5, 3)",33,0.08065843621399177,1+1+1
0,1,0.07222222222222223,"(0, 5, 3)",33,0.08065843621399177,1+1+1
0,2,0.09629629629629631,"(0, 5, 3)",33,0.08065843621399177,1+1+1
1,2,0.07407407407407407,"(0, 5, 3)",33,0.08065843621399177,1+1+1
1,1,0.07962962962962962,"(0, 5, 3)",33,0.08065843621399177,1+1+1
1,0,0.07962962962962962,"(0, 5, 3)",33,0.08065843621399177,1+1+1
2,1,0.05555555555555556,"(0, 5, 3)",33,0.08065843621399177,1+1+1
2,2,0.08518518518518518,"(0, 5, 3)",33,0.08065843621399177,1+1+1
2,0,0.07962962962962962,"(0, 5, 3)",33,0.08065843621399177,1+1+1
0,0,0.0962962962962963,"(0, 5, 4)",34,0.08065843621399177,1+1+1
0,1,0.07222222222222223,"(0, 5, 4)",34,0.08065843621399177,1+1+1
0,2,0.1037037037037037,"(0, 5, 4)",34,0.08065843621399177,1+1+1
1,2,0.07962962962962962,"(0, 5, 4)",34,0.08065843621399177,1+1+1
1,1,0.07962962962962962,"(0, 5, 4)",34,0.08065843621399177,1+1+1
1,0,0.07407407407407407,"(0, 5, 4)",34,0.08065843621399177,1+1+1
2,2,0.07962962962962962,"(0, 5, 4)",34,0.08065843621399177,1+1+1
2,0,0.08518518518518518,"(0, 5, 4)",34,0.08065843621399177,1+1+1
2,1,0.05555555555555556,"(0, 5, 4)",34,0.08065843621399177,1+1+1
0,0,0.1088888888888889,"(0, 5, 5)",35,0.07950617283950619,2+1
0,1,0.06666666666666667,"(0, 5, 5)",35,0.07950617283950619,2+1
0,2,0.1088888888888889,"(0, 5, 5)",35,0.07950617283950619,2+1
1,2,0.06555555555555556,"(0, 5, 5)",35,0.07950617283950619,2+1
1,1,0.08444444444444445,"(0, 5, 5)",35,0.07950617283950619,2+1
1,0,0.06555555555555556,"(0, 5, 5)",35,0.07950617283950619,2+1
2,2,0.06555555555555556,"(0, 5, 5)",35,0.07950617283950619,2+1
2,1,0.08444444444444445,"(0, 5, 5)",35,0.07950617283950619,2+1
2,0,0.06555555555555556,"(0, 5, 5)",35,0.07950617283950619,2+1
0,0,0.11693121693121694,"(1, 0, 0)",36,0.10699588477366256,2+1
0,2,0.153968253968254,"(1, 0, 0)",36,0.10699588477366256,2+1
0,1,0.091005291005291,"(1, 0, 0)",36,0.10699588477366256,2+1
1,0,0.08597883597883599,"(1, 0, 0)",36,0.10699588477366256,2+1
1,1,0.1433862433862434,"(1, 0, 0)",36,0.10699588477366256,2+1
1,2,0.07116402116402117,"(1, 0, 0)",36,0.10699588477366256,2+1
2,0,0.08597883597883599,"(1, 0, 0)",36,0.10699588477366256,2+1
2,1,0.14338624338624337,"(1, 0, 0)",36,0.10699588477366256,2+1
2,2,0.07116402116402117,"(1, 0, 0)",36,0.10699588477366256,2+1
0,0,0.08597883597883597,"(1, 0, 1)",37,0.10699588477366256,2+1
0,2,0.1433862433862434,"(1, 0, 1)",37,0.10699588477366256,2+1
0,1,0.07116402116402117,"(1, 0, 1)",37,0.10699588477366256,2+1
1,0,0.11693121693121694,"(1, 0, 1)",37,0.10699588477366256,2+1
1,1,0.15396825396825398,"(1, 0, 1)",37,0.10699588477366256,2+1
1,2,0.091005291005291,"(1, 0, 1)",37,0.10699588477366256,2+1
2,0,0.08597883597883599,"(1, 0, 1)",37,0.10699588477366256,2+1
2,2,0.14338624338624337,"(1, 0, 1)",37,0.10699588477366256,2+1
2,1,0.07116402116402117,"(1, 0, 1)",37,0.10699588477366256,2+1
0,0,0.08148148148148147,"(1, 0, 2)",38,0.09218106995884773,1+1+1
0,2,0.1037037037037037,"(1, 0, 2)",38,0.09218106995884773,1+1+1
0,1,0.10925925925925925,"(1, 0, 2)",38,0.09218106995884773,1+1+1
