,optimal_feasible_diff,optimal_timeout_diff,timeout_feasible_diff,std_optimal,std_feasible,std_timeout
node_x_col1_q3_shap,0.008932075956021107,-0.15036683592007416,0.15929891187609524,0.15449940630248993,0.2880650841712472,0.07429506056877232
node_x_col1_gini_shap,0.04611512362125353,-0.35999192895835275,0.4061070525796062,0.18808244314777825,0.3484665410965588,0.07579776917295775
node_x_overall_mean_shap,0.046895102758094505,-0.1542173045097079,0.2011124072678024,0.120759273102392,0.3084632634262811,0.07006171288404235
node_x_overall_std_shap,-0.038435980826918625,-0.04008673098948845,0.001650750162569825,0.07684935481551283,0.18662043032749942,0.12039327606677944
num_conjunctive_edges_shap,-0.07471696475364092,-1.2302766487688246,1.1555596840151836,0.15414919811084452,0.4359975467285701,0.21693721368483393
num_disjunctive_edges_shap,-0.1924537112664889,-1.304614896498991,1.112161185232502,0.10018145813904067,0.4613329741751735,0.18354510550593756
num_nodes_total_shap,-0.184368137885238,-1.1878202523751922,1.0034521144899542,0.21655391606256436,0.4572480838831395,0.17351968635418177
num_edges_total_shap,-0.23954909270405744,-1.3731193410425884,1.1335702483385308,0.09256352524803306,0.4752985451535789,0.17763421746155522
disj_graph_density_shap,0.009662610369239391,-0.0882213325357255,0.09788394290496488,0.06492928181128967,0.2578797203098463,0.06370260402243308
deg_d_max_shap,-1.3365190720999727,-1.5278332239575558,0.19131415185758294,0.3481677126838269,0.14775315502119116,0.03241675109255639
deg_d_mean_shap,-1.3533486960172274,-1.6057012180288637,0.25235252201163605,0.2788755670488913,0.20725419078299503,0.043500433941568155
deg_d_median_shap,-1.3791267927125617,-1.592655270459281,0.21352847774671935,0.32036960513384244,0.17026321719755036,0.03530269942169641
deg_d_std_shap,-0.298785213098827,-0.37479994270000155,0.07601472960117459,0.17324493303780608,0.27037226256226893,0.21577515087401164
deg_d_range_shap,-1.3435797089121633,-1.5521879818871094,0.20860827297494589,0.3420860758822397,0.16083509355301556,0.036392423759326116
deg_d_q1_shap,-1.3870894125618722,-1.6228893112123661,0.2357998986504939,0.3058516115861185,0.17907866771641456,0.03879596860757076
deg_d_q3_shap,-1.293312784878812,-1.5023350583190984,0.20902227344028634,0.3129447166271756,0.15545576831651248,0.03405427408124702
deg_d_gini_shap,-0.10432646972748141,-1.1092308313699308,1.0049043616424496,0.1689204944339562,0.4162909340204022,0.1889965553936593
clustering_max_shap,0.008925730180593866,0.00890875322600268,1.6976954591185756e-05,0.124458417965606,0.0005666179155358248,5.963742740213293e-05
