exact_class_id,n_permutations,n_distinct_perm_tuples,makespan_mean,makespan_median,makespan_min,makespan_max,failures_mean,failures_median,failures_max,nSolutions_mean,nSolutions_median,solveTime_mean,time_mean,propagations_mean,opt_rate,b_00,b_01,b_02,b_03,b_10,b_11,b_12,b_13,b_20,b_21,b_22,b_23,b_30,b_31,b_32,b_33,betweenness_mean,betweenness_std,betweenness_range,row_dispersion,col_dispersion,diag_proxy,anti_diag_proxy,matrix_json,macro_class_id
336,1152,1152,21.166666666666668,21.0,21,22,0.12239583333333333,0.0,3,4.926215277777778,5.0,19.4381796875,118.50520833333333,383.81597222222223,1.0,0.034803921569,0.035906862745,0.060049019608,0.067156862745,0.047181372549,0.054901960784,0.060294117647,0.05943627451,0.058700980392,0.058578431373,0.065073529412,0.052450980392,0.062132352941,0.064828431373,0.044485294118,0.048284313725,0.0546415441176875,0.009650479980292509,0.032352941176,0.013247344958589372,0.010864957225484402,0.20306372548999999,0.24816176470600002,"[[0.034803921569, 0.035906862745, 0.060049019608, 0.067156862745], [0.047181372549, 0.054901960784, 0.060294117647, 0.05943627451], [0.058700980392, 0.058578431373, 0.065073529412, 0.052450980392], [0.062132352941, 0.064828431373, 0.044485294118, 0.048284313725]]",0
366,1152,1152,21.166666666666668,21.0,21,22,0.1189236111111111,0.0,3,5.022569444444445,5.0,19.538263888888892,119.01215277777777,389.2369791666667,1.0,0.036397058824,0.039215686275,0.054656862745,0.063480392157,0.043014705882,0.047426470588,0.055147058824,0.051225490196,0.061151960784,0.065073529412,0.049632352941,0.051593137255,0.061519607843,0.05,0.061151960784,0.050735294118,0.05258884803925,0.008264324974822016,0.02867647058799999,0.015179886415787037,0.008549715593317764,0.18419117647099997,0.245220588236,"[[0.036397058824, 0.039215686275, 0.054656862745, 0.063480392157], [0.043014705882, 0.047426470588, 0.055147058824, 0.051225490196], [0.061151960784, 0.065073529412, 0.049632352941, 0.051593137255], [0.061519607843, 0.05, 0.061151960784, 0.050735294118]]",0
367,576,576,21.166666666666668,21.0,21,22,0.109375,0.0,2,5.055555555555555,5.0,19.276944444444446,117.84895833333333,386.14930555555554,1.0,0.039110644258,0.052783613445,0.058403361345,0.064163165266,0.047916666667,0.070710784314,0.055042016807,0.05756302521,0.052783613445,0.039110644258,0.058403361345,0.064163165266,0.070710784314,0.047916666667,0.055042016807,0.05756302521,0.055711659664000004,0.009030863774311325,0.031600140056,0.00838585434200001,0.013645139251299673,0.22578781512700002,0.22902661064500002,"[[0.039110644258, 0.052783613445, 0.058403361345, 0.064163165266], [0.047916666667, 0.070710784314, 0.055042016807, 0.05756302521], [0.052783613445, 0.039110644258, 0.058403361345, 0.064163165266], [0.070710784314, 0.047916666667, 0.055042016807, 0.05756302521]]",0
370,1152,1152,21.166666666666668,21.0,21,22,0.10850694444444445,0.0,5,5.055555555555555,5.0,19.57214496527778,118.43836805555556,373.7630208333333,1.0,0.040826330532,0.045115546218,0.04880952381,0.058665966387,0.048599439776,0.045973389356,0.053746498599,0.053518907563,0.055094537815,0.054481792717,0.053781512605,0.054989495798,0.059996498599,0.060066526611,0.044992997199,0.049597338936,0.051766018907562494,0.005539382353730182,0.019240196079000002,0.009980623146501106,0.005823144681038999,0.190178571429,0.22689075630199998,"[[0.040826330532, 0.045115546218, 0.04880952381, 0.058665966387], [0.048599439776, 0.045973389356, 0.053746498599, 0.053518907563], [0.055094537815, 0.054481792717, 0.053781512605, 0.054989495798], [0.059996498599, 0.060066526611, 0.044992997199, 0.049597338936]]",0
376,1152,1152,21.166666666666668,21.0,21,22,0.12065972222222222,0.0,7,4.901041666666667,5.0,19.37987934027778,118.10503472222223,400.16840277777777,1.0,0.040581232493,0.046883753501,0.048196778711,0.06018907563,0.05012254902,0.049054621849,0.063550420168,0.050945378151,0.058053221289,0.067226890756,0.043417366947,0.056512605042,0.06293767507,0.050280112045,0.049509803922,0.059103641457,0.0535353203781875,0.007453511270742758,0.026645658263,0.011362364303465891,0.00798576876188612,0.192156862746,0.25390406162400003,"[[0.040581232493, 0.046883753501, 0.048196778711, 0.06018907563], [0.05012254902, 0.049054621849, 0.063550420168, 0.050945378151], [0.058053221289, 0.067226890756, 0.043417366947, 0.056512605042], [0.06293767507, 0.050280112045, 0.049509803922, 0.059103641457]]",0
379,576,576,21.166666666666668,21.0,21,22,0.16493055555555555,0.0,5,5.121527777777778,5.0,19.911020833333332,119.45486111111111,354.3767361111111,1.0,0.043820028011,0.050647759104,0.056197478992,0.060364145658,0.043820028011,0.050647759104,0.056197478992,0.060364145658,0.055882352941,0.057475490196,0.046708683473,0.05756302521,0.055882352941,0.057475490196,0.046708683473,0.05756302521,0.053582370448125,0.00548048842597935,0.016544117647,0.0033000700275000044,0.013804743512631326,0.19873949579800002,0.22991946778699998,"[[0.043820028011, 0.050647759104, 0.056197478992, 0.060364145658], [0.043820028011, 0.050647759104, 0.056197478992, 0.060364145658], [0.055882352941, 0.057475490196, 0.046708683473, 0.05756302521], [0.055882352941, 0.057475490196, 0.046708683473, 0.05756302521]]",0
395,576,576,21.166666666666668,21.0,21,22,0.13020833333333334,0.0,5,4.894097222222222,5.0,19.72693923611111,119.17534722222223,387.5763888888889,1.0,0.046708683473,0.046708683473,0.059996498599,0.059996498599,0.049947478992,0.072741596639,0.051715686275,0.05406162465,0.058158263305,0.058158263305,0.065161064426,0.065161064426,0.072741596639,0.049947478992,0.05406162465,0.051715686275,0.057311362044875,0.008032380672415892,0.026032913165999996,0.011773778280672895,0.0016894257705000124,0.236327030813,0.24261204481799997,"[[0.046708683473, 0.046708683473, 0.059996498599, 0.059996498599], [0.049947478992, 0.072741596639, 0.051715686275, 0.05406162465], [0.058158263305, 0.058158263305, 0.065161064426, 0.065161064426], [0.072741596639, 0.049947478992, 0.05406162465, 0.051715686275]]",0
396,576,576,21.166666666666668,21.0,21,22,0.1701388888888889,0.0,5,5.350694444444445,5.0,19.48571527777778,119.19791666666667,362.31944444444446,1.0,0.039093137255,0.039093137255,0.053799019608,0.053799019608,0.039828431373,0.070098039216,0.045343137255,0.059681372549,0.053799019608,0.053799019608,0.070343137255,0.070343137255,0.070098039216,0.039828431373,0.059681372549,0.045343137255,0.053998161764875,0.011492350401533685,0.031249999999999993,0.02212162560582058,0.01317401960749999,0.22487745098099998,0.223039215687,"[[0.039093137255, 0.039093137255, 0.053799019608, 0.053799019608], [0.039828431373, 0.070098039216, 0.045343137255, 0.059681372549], [0.053799019608, 0.053799019608, 0.070343137255, 0.070343137255], [0.070098039216, 0.039828431373, 0.059681372549, 0.045343137255]]",0
397,1152,1152,21.166666666666668,21.0,21,22,0.12760416666666666,0.0,7,5.016493055555555,5.0,19.41591493055556,119.13888888888889,395.4201388888889,1.0,0.045605742297,0.050490196078,0.053011204482,0.059681372549,0.049754901961,0.057668067227,0.073231792717,0.055164565826,0.051295518207,0.058455882353,0.052030812325,0.050367647059,0.065511204482,0.049142156863,0.046446078431,0.048301820728,0.0541349352240625,0.007107735924279775,0.027626050420000006,0.011202822436832967,0.004893690737251952,0.203606442577,0.256880252101,"[[0.045605742297, 0.050490196078, 0.053011204482, 0.059681372549], [0.049754901961, 0.057668067227, 0.073231792717, 0.055164565826], [0.051295518207, 0.058455882353, 0.052030812325, 0.050367647059], [0.065511204482, 0.049142156863, 0.046446078431, 0.048301820728]]",0
398,1152,1152,21.166666666666668,21.0,21,22,0.11458333333333333,0.0,4,4.9765625,5.0,19.45918923611111,118.89322916666667,373.2673611111111,1.0,0.041299019608,0.044975490196,0.054901960784,0.06556372549,0.046078431373,0.050367647059,0.057598039216,0.048161764706,0.05,0.069607843137,0.058946078431,0.056004901961,0.061029411765,0.050735294118,0.051593137255,0.054166666667,0.053814338235375,0.007304512057181769,0.028308823529,0.01245561733333282,0.01023871206562267,0.20477941176499997,0.253799019608,"[[0.041299019608, 0.044975490196, 0.054901960784, 0.06556372549], [0.046078431373, 0.050367647059, 0.057598039216, 0.048161764706], [0.05, 0.069607843137, 0.058946078431, 0.056004901961], [0.061029411765, 0.050735294118, 0.051593137255, 0.054166666667]]",0
