job,machine,btw,perm,perm_idx,betweenness_mean
1,3,0.03186274509803921,"(0, 0, 0, 17)",17,0.05893841911764706
2,0,0.035801820728291314,"(0, 0, 0, 17)",17,0.05893841911764706
2,1,0.06355042016806722,"(0, 0, 0, 17)",17,0.05893841911764706
2,2,0.0625,"(0, 0, 0, 17)",17,0.05893841911764706
2,3,0.03186274509803921,"(0, 0, 0, 17)",17,0.05893841911764706
3,2,0.0819327731092437,"(0, 0, 0, 17)",17,0.05893841911764706
3,3,0.06906512605042016,"(0, 0, 0, 17)",17,0.05893841911764706
3,1,0.08272058823529412,"(0, 0, 0, 17)",17,0.05893841911764706
3,0,0.1281512605042017,"(0, 0, 0, 17)",17,0.05893841911764706
0,0,0.04044117647058824,"(0, 0, 0, 19)",19,0.0607766544117647
0,1,0.06740196078431372,"(0, 0, 0, 19)",19,0.0607766544117647
0,2,0.056372549019607844,"(0, 0, 0, 19)",19,0.0607766544117647
0,3,0.04044117647058823,"(0, 0, 0, 19)",19,0.0607766544117647
1,0,0.04044117647058824,"(0, 0, 0, 19)",19,0.0607766544117647
1,1,0.06740196078431372,"(0, 0, 0, 19)",19,0.0607766544117647
1,2,0.056372549019607844,"(0, 0, 0, 19)",19,0.0607766544117647
1,3,0.04044117647058823,"(0, 0, 0, 19)",19,0.0607766544117647
2,0,0.04044117647058824,"(0, 0, 0, 19)",19,0.0607766544117647
2,1,0.06740196078431372,"(0, 0, 0, 19)",19,0.0607766544117647
2,2,0.056372549019607844,"(0, 0, 0, 19)",19,0.0607766544117647
2,3,0.04044117647058823,"(0, 0, 0, 19)",19,0.0607766544117647
3,3,0.13051470588235295,"(0, 0, 0, 19)",19,0.0607766544117647
3,0,0.09742647058823528,"(0, 0, 0, 19)",19,0.0607766544117647
3,2,0.05514705882352941,"(0, 0, 0, 19)",19,0.0607766544117647
3,1,0.07536764705882353,"(0, 0, 0, 19)",19,0.0607766544117647
0,0,0.03965336134453781,"(0, 0, 0, 21)",21,0.05751050420168066
0,1,0.05759803921568627,"(0, 0, 0, 21)",21,0.05751050420168066
0,2,0.05759803921568627,"(0, 0, 0, 21)",21,0.05751050420168066
0,3,0.03965336134453781,"(0, 0, 0, 21)",21,0.05751050420168066
1,0,0.03965336134453781,"(0, 0, 0, 21)",21,0.05751050420168066
1,1,0.05759803921568627,"(0, 0, 0, 21)",21,0.05751050420168066
1,2,0.05759803921568627,"(0, 0, 0, 21)",21,0.05751050420168066
1,3,0.03965336134453781,"(0, 0, 0, 21)",21,0.05751050420168066
2,0,0.03965336134453781,"(0, 0, 0, 21)",21,0.05751050420168066
2,1,0.05759803921568627,"(0, 0, 0, 21)",21,0.05751050420168066
2,2,0.057598039215686264,"(0, 0, 0, 21)",21,0.05751050420168066
2,3,0.03965336134453781,"(0, 0, 0, 21)",21,0.05751050420168066
3,3,0.1139705882352941,"(0, 0, 0, 21)",21,0.05751050420168066
3,1,0.054359243697478986,"(0, 0, 0, 21)",21,0.05751050420168066
3,2,0.054359243697478986,"(0, 0, 0, 21)",21,0.05751050420168066
3,0,0.11397058823529412,"(0, 0, 0, 21)",21,0.05751050420168066
0,0,0.03869047619047619,"(0, 0, 0, 23)",23,0.06164653361344536
0,1,0.06906512605042016,"(0, 0, 0, 23)",23,0.06164653361344536
0,2,0.06906512605042014,"(0, 0, 0, 23)",23,0.06164653361344536
0,3,0.038690476190476185,"(0, 0, 0, 23)",23,0.06164653361344536
1,0,0.03869047619047619,"(0, 0, 0, 23)",23,0.06164653361344536
1,1,0.06906512605042016,"(0, 0, 0, 23)",23,0.06164653361344536
1,2,0.06906512605042014,"(0, 0, 0, 23)",23,0.06164653361344536
1,3,0.038690476190476185,"(0, 0, 0, 23)",23,0.06164653361344536
2,0,0.03869047619047619,"(0, 0, 0, 23)",23,0.06164653361344536
2,1,0.06906512605042014,"(0, 0, 0, 23)",23,0.06164653361344536
2,2,0.06906512605042014,"(0, 0, 0, 23)",23,0.06164653361344536
2,3,0.03869047619047619,"(0, 0, 0, 23)",23,0.06164653361344536
3,3,0.10346638655462181,"(0, 0, 0, 23)",23,0.06164653361344536
3,2,0.06643907563025209,"(0, 0, 0, 23)",23,0.06164653361344536
3,1,0.06643907563025209,"(0, 0, 0, 23)",23,0.06164653361344536
3,0,0.10346638655462183,"(0, 0, 0, 23)",23,0.06164653361344536
0,0,0.04748774509803922,"(0, 0, 1, 1)",25,0.0784313725490196
