exact_class_id,n_instances,signed_diff_m0,signed_diff_m1,signed_diff_m2,signed_diff_m3,abs_diff_m0,abs_diff_m1,abs_diff_m2,abs_diff_m3,mean_perm_matrix_json,std_perm_matrix_json
10,96,-2.745614035087719,-0.10526315789473684,0.7719298245614035,2.0789473684210527,3.6491228070175437,3.6491228070175437,3.6491228070175437,3.6491228070175437,"[[1.5, 1.5, 1.5, 1.5], [1.5, 1.5, 1.5, 1.5], [1.5, 1.5, 1.5, 1.5], [1.5, 1.5, 1.5, 1.5]]","[[1.118033988749895, 1.118033988749895, 1.118033988749895, 1.118033988749895], [1.118033988749895, 1.118033988749895, 1.118033988749895, 1.118033988749895], [1.118033988749895, 1.118033988749895, 1.118033988749895, 1.118033988749895], [1.118033988749895, 1.118033988749895, 1.118033988749895, 1.118033988749895]]"
11,192,-2.5109075043630016,0.23778359511343805,1.3841623036649215,0.8889616055846422,3.630017452006981,4.467713787085515,4.467713787085515,3.630017452006981,"[[1.5, 1.5, 1.5, 1.5], [1.5, 1.5, 1.5, 1.5], [1.5, 1.5, 1.5, 1.5], [1.5, 1.5, 1.5, 1.5]]","[[1.118033988749895, 1.118033988749895, 1.118033988749895, 1.118033988749895], [1.118033988749895, 1.118033988749895, 1.118033988749895, 1.118033988749895], [1.118033988749895, 1.118033988749895, 1.118033988749895, 1.118033988749895], [1.118033988749895, 1.118033988749895, 1.118033988749895, 1.118033988749895]]"
12,96,-2.473684210526316,1.2982456140350878,-0.6140350877192983,1.7894736842105263,3.6491228070175437,3.6491228070175437,3.6491228070175437,3.6491228070175437,"[[1.5, 1.5, 1.5, 1.5], [1.5, 1.5, 1.5, 1.5], [1.5, 1.5, 1.5, 1.5], [1.5, 1.5, 1.5, 1.5]]","[[1.118033988749895, 1.118033988749895, 1.118033988749895, 1.118033988749895], [1.118033988749895, 1.118033988749895, 1.118033988749895, 1.118033988749895], [1.118033988749895, 1.118033988749895, 1.118033988749895, 1.118033988749895], [1.118033988749895, 1.118033988749895, 1.118033988749895, 1.118033988749895]]"
13,192,-2.380017452006981,1.219458987783595,0.40575916230366493,0.7547993019197208,3.630017452006981,3.630017452006981,3.630017452006981,3.630017452006981,"[[1.5, 1.5, 1.5, 1.5], [1.5, 1.5, 1.5, 1.5], [1.5, 1.5, 1.5, 1.5], [1.5, 1.5, 1.5, 1.5]]","[[1.118033988749895, 1.118033988749895, 1.118033988749895, 1.118033988749895], [1.118033988749895, 1.118033988749895, 1.118033988749895, 1.118033988749895], [1.118033988749895, 1.118033988749895, 1.118033988749895, 1.118033988749895], [1.118033988749895, 1.118033988749895, 1.118033988749895, 1.118033988749895]]"
14,96,-2.263157894736842,0.5614035087719298,1.9649122807017543,-0.2631578947368421,3.6491228070175437,5.052631578947368,5.052631578947368,3.6491228070175437,"[[1.5, 1.5, 1.5, 1.5], [1.5, 1.5, 1.5, 1.5], [1.5, 1.5, 1.5, 1.5], [1.5, 1.5, 1.5, 1.5]]","[[1.118033988749895, 1.118033988749895, 1.118033988749895, 1.118033988749895], [1.118033988749895, 1.118033988749895, 1.118033988749895, 1.118033988749895], [1.118033988749895, 1.118033988749895, 1.118033988749895, 1.118033988749895], [1.118033988749895, 1.118033988749895, 1.118033988749895, 1.118033988749895]]"
15,96,-2.263157894736842,1.087719298245614,1.4385964912280702,-0.2631578947368421,3.6491228070175437,3.6491228070175437,3.6491228070175437,3.6491228070175437,"[[1.5, 1.5, 1.5, 1.5], [1.5, 1.5, 1.5, 1.5], [1.5, 1.5, 1.5, 1.5], [1.5, 1.5, 1.5, 1.5]]","[[1.118033988749895, 1.118033988749895, 1.118033988749895, 1.118033988749895], [1.118033988749895, 1.118033988749895, 1.118033988749895, 1.118033988749895], [1.118033988749895, 1.118033988749895, 1.118033988749895, 1.118033988749895], [1.118033988749895, 1.118033988749895, 1.118033988749895, 1.118033988749895]]"
16,144,-3.6907536907536906,-0.7847707847707848,2.0823620823620823,2.393162393162393,4.1678321678321675,4.1678321678321675,4.1678321678321675,4.1678321678321675,"[[1.5, 1.5, 1.5, 1.5], [1.5, 1.5, 1.5, 1.5], [1.5, 1.5, 1.5, 1.5], [1.5, 1.5, 1.5, 1.5]]","[[1.118033988749895, 1.118033988749895, 1.118033988749895, 1.118033988749895], [1.118033988749895, 1.118033988749895, 1.118033988749895, 1.118033988749895], [1.118033988749895, 1.118033988749895, 1.118033988749895, 1.118033988749895], [1.118033988749895, 1.118033988749895, 1.118033988749895, 1.118033988749895]]"
17,576,-3.9783816425120775,0.17717391304347826,1.4108695652173913,2.3903381642512076,4.452173913043478,2.9495652173913043,2.9495652173913043,4.452173913043478,"[[1.5, 1.5, 1.5, 1.5], [1.5, 1.5, 1.5, 1.5], [1.5, 1.5, 1.5, 1.5], [1.5, 1.5, 1.5, 1.5]]","[[1.118033988749895, 1.118033988749895, 1.118033988749895, 1.118033988749895], [1.118033988749895, 1.118033988749895, 1.118033988749895, 1.118033988749895], [1.118033988749895, 1.118033988749895, 1.118033988749895, 1.118033988749895], [1.118033988749895, 1.118033988749895, 1.118033988749895, 1.118033988749895]]"
18,576,-3.1620772946859903,-0.06884057971014493,1.0427536231884058,2.1881642512077293,3.812173913043478,3.2973913043478262,3.2973913043478262,3.812173913043478,"[[1.5, 1.5, 1.5, 1.5], [1.5, 1.5, 1.5, 1.5], [1.5, 1.5, 1.5, 1.5], [1.5, 1.5, 1.5, 1.5]]","[[1.118033988749895, 1.118033988749895, 1.118033988749895, 1.118033988749895], [1.118033988749895, 1.118033988749895, 1.118033988749895, 1.118033988749895], [1.118033988749895, 1.118033988749895, 1.118033988749895, 1.118033988749895], [1.118033988749895, 1.118033988749895, 1.118033988749895, 1.118033988749895]]"
19,576,-3.594685990338164,-0.015458937198067632,1.2990338164251207,2.311111111111111,4.1460869565217395,2.9495652173913043,2.9495652173913043,4.1460869565217395,"[[1.5, 1.5, 1.5, 1.5], [1.5, 1.5, 1.5, 1.5], [1.5, 1.5, 1.5, 1.5], [1.5, 1.5, 1.5, 1.5]]","[[1.118033988749895, 1.118033988749895, 1.118033988749895, 1.118033988749895], [1.118033988749895, 1.118033988749895, 1.118033988749895, 1.118033988749895], [1.118033988749895, 1.118033988749895, 1.118033988749895, 1.118033988749895], [1.118033988749895, 1.118033988749895, 1.118033988749895, 1.118033988749895]]"
20,576,-3.1183574879227054,0.07922705314009662,0.8955314009661836,2.1435990338164252,3.812173913043478,3.617391304347826,3.617391304347826,3.812173913043478,"[[1.5, 1.5, 1.5, 1.5], [1.5, 1.5, 1.5, 1.5], [1.5, 1.5, 1.5, 1.5], [1.5, 1.5, 1.5, 1.5]]","[[1.118033988749895, 1.118033988749895, 1.118033988749895, 1.118033988749895], [1.118033988749895, 1.118033988749895, 1.118033988749895, 1.118033988749895], [1.118033988749895, 1.118033988749895, 1.118033988749895, 1.118033988749895], [1.118033988749895, 1.118033988749895, 1.118033988749895, 1.118033988749895]]"
21,288,-2.9713511420828493,-1.4885791715060008,2.140921409214092,2.319008904374758,3.6236933797909407,3.6236933797909407,3.6236933797909407,3.6236933797909407,"[[1.5, 1.5, 1.5, 1.5], [1.5, 1.5, 1.5, 1.5], [1.5, 1.5, 1.5, 1.5], [1.5, 1.5, 1.5, 1.5]]","[[1.118033988749895, 1.118033988749895, 1.118033988749895, 1.118033988749895], [1.118033988749895, 1.118033988749895, 1.118033988749895, 1.118033988749895], [1.118033988749895, 1.118033988749895, 1.118033988749895, 1.118033988749895], [1.118033988749895, 1.118033988749895, 1.118033988749895, 1.118033988749895]]"
22,576,-2.6031400966183575,-1.8490338164251208,2.177053140096618,2.27512077294686,3.2973913043478262,3.2973913043478262,3.2973913043478262,3.2973913043478262,"[[1.5, 1.5, 1.5, 1.5], [1.5, 1.5, 1.5, 1.5], [1.5, 1.5, 1.5, 1.5], [1.5, 1.5, 1.5, 1.5]]","[[1.118033988749895, 1.118033988749895, 1.118033988749895, 1.118033988749895], [1.118033988749895, 1.118033988749895, 1.118033988749895, 1.118033988749895], [1.118033988749895, 1.118033988749895, 1.118033988749895, 1.118033988749895], [1.118033988749895, 1.118033988749895, 1.118033988749895, 1.118033988749895]]"
23,576,-2.81207729468599,-0.41304347826086957,1.065217391304348,2.159903381642512,3.617391304347826,2.9495652173913043,2.9495652173913043,3.617391304347826,"[[1.5, 1.5, 1.5, 1.5], [1.5, 1.5, 1.5, 1.5], [1.5, 1.5, 1.5, 1.5], [1.5, 1.5, 1.5, 1.5]]","[[1.118033988749895, 1.118033988749895, 1.118033988749895, 1.118033988749895], [1.118033988749895, 1.118033988749895, 1.118033988749895, 1.118033988749895], [1.118033988749895, 1.118033988749895, 1.118033988749895, 1.118033988749895], [1.118033988749895, 1.118033988749895, 1.118033988749895, 1.118033988749895]]"
24,576,-1.8708937198067632,-0.7754830917874396,1.7485507246376812,0.8978260869565218,2.9495652173913043,3.2973913043478262,3.2973913043478262,2.9495652173913043,"[[1.5, 1.5, 1.5, 1.5], [1.5, 1.5, 1.5, 1.5], [1.5, 1.5, 1.5, 1.5], [1.5, 1.5, 1.5, 1.5]]","[[1.118033988749895, 1.118033988749895, 1.118033988749895, 1.118033988749895], [1.118033988749895, 1.118033988749895, 1.118033988749895, 1.118033988749895], [1.118033988749895, 1.118033988749895, 1.118033988749895, 1.118033988749895], [1.118033988749895, 1.118033988749895, 1.118033988749895, 1.118033988749895]]"
