paths,flatBoolVars,flatIntVars,flatBoolConstraints,flatIntConstraints,evaluatedHalfReifiedConstraints,method,flatTime,objective,objectiveBound,boolVariables,failures,propagations,solveTime,time,nSolutions,perm_idx,perm,status,timeout_ms
0,18,20,9,38,18,minimize,78.60499999999999,,14,10,1,140,10.809,222.0,2,88,"(2, 2, 4)",OPTIMAL_SOLUTION,1641.0
0,18,20,9,38,18,minimize,71.952,,13,14,0,93,11.548,209.0,1,89,"(2, 2, 5)",OPTIMAL_SOLUTION,1641.0
0,18,20,9,38,18,minimize,82.553,,13,19,0,293,22.305,120.0,3,90,"(2, 3, 0)",OPTIMAL_SOLUTION,1641.0
0,18,20,9,38,18,minimize,98.99199999999999,,13,19,1,239,19.676,133.0,3,91,"(2, 3, 1)",OPTIMAL_SOLUTION,1641.0
0,18,20,9,38,18,minimize,69.116,,14,20,1,362,11.083,100.0,3,92,"(2, 3, 2)",OPTIMAL_SOLUTION,1641.0
0,18,20,9,38,18,minimize,70.971,,14,14,1,147,23.613,100.0,1,93,"(2, 3, 3)",OPTIMAL_SOLUTION,1641.0
0,18,20,9,38,18,minimize,74.386,,13,20,0,323,8.448,213.0,4,94,"(2, 3, 4)",OPTIMAL_SOLUTION,1641.0
0,18,20,9,38,18,minimize,71.42800000000001,,13,16,2,273,23.194,106.0,3,95,"(2, 3, 5)",OPTIMAL_SOLUTION,1641.0
0,18,20,9,38,18,minimize,76.705,,14,13,1,150,9.709999999999999,213.0,2,96,"(2, 4, 0)",OPTIMAL_SOLUTION,1641.0
0,18,20,9,38,18,minimize,72.566,,13,20,0,320,10.844,107.0,4,97,"(2, 4, 1)",OPTIMAL_SOLUTION,1641.0
0,18,20,9,38,18,minimize,71.025,,14,13,1,149,23.786,102.0,3,98,"(2, 4, 2)",OPTIMAL_SOLUTION,1641.0
0,18,20,9,38,18,minimize,74.049,,13,15,0,165,11.314,105.0,2,99,"(2, 4, 3)",OPTIMAL_SOLUTION,1641.0
0,18,20,9,38,18,minimize,67.103,,14,10,1,124,15.261000000000001,211.0,2,100,"(2, 4, 4)",OPTIMAL_SOLUTION,1641.0
0,18,20,9,38,18,minimize,75.02399999999999,,14,17,5,321,7.611,112.0,3,101,"(2, 4, 5)",OPTIMAL_SOLUTION,1641.0
0,18,20,9,38,18,minimize,66.151,,13,11,0,160,35.554,106.0,3,102,"(2, 5, 0)",OPTIMAL_SOLUTION,1641.0
0,18,20,9,38,18,minimize,71.67800000000001,,12,17,0,133,15.816,105.0,2,103,"(2, 5, 1)",OPTIMAL_SOLUTION,1641.0
0,18,20,9,38,18,minimize,70.15100000000001,,13,17,0,260,9.549999999999999,101.0,3,104,"(2, 5, 2)",OPTIMAL_SOLUTION,1641.0
0,18,20,9,38,18,minimize,67.41,,13,10,0,103,8.384,98.0,2,105,"(2, 5, 3)",OPTIMAL_SOLUTION,1641.0
0,18,20,9,38,18,minimize,68.005,,14,14,1,135,13.152000000000001,98.0,1,106,"(2, 5, 4)",OPTIMAL_SOLUTION,1641.0
0,18,20,9,38,18,minimize,69.695,,13,13,0,92,13.003,95.0,1,107,"(2, 5, 5)",OPTIMAL_SOLUTION,1641.0
0,18,20,9,38,18,minimize,67.96199999999999,,13,17,0,268,21.963,103.0,3,108,"(3, 0, 0)",OPTIMAL_SOLUTION,1641.0
0,18,20,9,38,18,minimize,69.648,,14,14,1,148,18.126,102.0,2,109,"(3, 0, 1)",OPTIMAL_SOLUTION,1641.0
0,18,20,9,38,18,minimize,68.064,,13,21,0,329,10.362,208.0,4,110,"(3, 0, 2)",OPTIMAL_SOLUTION,1641.0
0,18,20,9,38,18,minimize,71.03800000000001,,13,18,0,276,16.002,106.0,2,111,"(3, 0, 3)",OPTIMAL_SOLUTION,1641.0
0,18,20,9,38,18,minimize,75.626,,12,21,0,244,19.342000000000002,110.0,3,112,"(3, 0, 4)",OPTIMAL_SOLUTION,1641.0
0,18,20,9,38,18,minimize,68.70700000000001,,13,20,0,335,16.472,105.0,3,113,"(3, 0, 5)",OPTIMAL_SOLUTION,1641.0
0,18,20,9,38,18,minimize,67.914,,14,14,2,157,10.112,100.0,2,114,"(3, 1, 0)",OPTIMAL_SOLUTION,1641.0
0,18,20,9,38,18,minimize,69.771,,14,9,0,0,12.103,102.0,2,115,"(3, 1, 1)",OPTIMAL_SOLUTION,1641.0
0,18,20,9,38,18,minimize,70.83399999999999,,13,15,0,326,21.238,104.0,4,116,"(3, 1, 2)",OPTIMAL_SOLUTION,1641.0
0,18,20,9,38,18,minimize,71.086,,14,17,1,300,20.767,105.0,3,117,"(3, 1, 3)",OPTIMAL_SOLUTION,1641.0
0,18,20,9,38,18,minimize,70.53,,13,18,1,270,10.995,107.0,3,118,"(3, 1, 4)",OPTIMAL_SOLUTION,1641.0
0,18,20,9,38,18,minimize,71.59400000000001,,14,13,1,140,16.771,112.0,1,119,"(3, 1, 5)",OPTIMAL_SOLUTION,1641.0
0,18,20,9,38,18,minimize,70.138,,13,13,0,156,23.036,105.0,4,120,"(3, 2, 0)",OPTIMAL_SOLUTION,1641.0
