scope_type,scope_value,jobs,machines,n_files,benchmark_families,model_type,distribution,params,n_params,loglik,aic,bic,gof_test,gof_stat,gof_pvalue
size_family,15x5,15,5,5,la,discrete,discrete_uniform_minmax,"{""low"": 5, ""high"": 99}",2,-1707.703834350203,3419.407668700406,3427.2615207523468,chi2_uniform_minmax_bins10,7.330666666666666,0.602734204261866
size_family,15x5,15,5,5,la,discrete,discrete_uniform_1_99,"{""low"": 1, ""high"": 99, ""fixed_support"": true}",0,-1723.1699438004712,3446.3398876009423,3446.3398876009423,chi2_uniform_1_99_bins10,10.651200000000001,0.3003768803414755
size_family,15x5,15,5,5,la,discrete,discrete_uniform_1_100,"{""low"": 1, ""high"": 100, ""fixed_support"": true}",0,-1726.9388197455344,3453.8776394910687,3453.8776394910687,chi2_uniform_1_100_bins10,11.32,0.2544106586159445
size_family,15x5,15,5,5,la,discrete,discrete_uniform_0_99,"{""low"": 0, ""high"": 99, ""fixed_support"": true}",0,-1726.9388197455344,3453.8776394910687,3453.8776394910687,chi2_uniform_0_99_bins10,13.826666666666664,0.12862600056831905
size_family,15x5,15,5,5,la,discrete,discrete_uniform_0_100,"{""low"": 0, ""high"": 100, ""fixed_support"": true}",0,-1730.6701938154724,3461.340387630945,3461.340387630945,chi2_uniform_0_100_bins10,13.772872727272727,0.1306370643826399
size_family,15x5,15,5,5,la,discrete,poisson,"{""mu"": 52.92}",1,-3957.087700055663,7916.175400111326,7920.102326137297,,,
size_family,15x5,15,5,5,la,continuous_exploratory,uniform,"[5.0, 94.0]",2,-1703.7355433512512,3411.4710867025024,3419.3249387544433,KS_continuous,0.04666666666666669,0.3761067558690926
size_family,15x5,15,5,5,la,continuous_exploratory,weibull_min,"[2.8651011677835756, -15.9202131691197, 77.45739113409022]",3,-1759.2446936953647,3524.4893873907295,3536.2701654686407,KS_continuous,0.0712060845108542,0.04246146502925319
size_family,15x5,15,5,5,la,continuous_exploratory,norm,"[52.92, 26.884027476055987]",2,-1766.4265760004319,3536.8531520008637,3544.7070040528047,KS_continuous,0.06713042769056304,0.06502756643804075
size_family,15x5,15,5,5,la,continuous_exploratory,lognorm,"[5.104169700889342e-06, -5267019.976832008, 5267072.896763397]",3,-1766.4266654985515,3538.853330997103,3550.6341090750143,KS_continuous,0.06713050142219623,0.06502707980297862
size_family,15x5,15,5,5,la,continuous_exploratory,gamma,"[793.8818791177955, -705.5943285728299, 0.9554368373447484]",3,-1766.8646391881084,3539.729278376217,3551.510056454128,KS_continuous,0.06738697406750016,0.06335303721689
size_family,15x5,15,5,5,la,continuous_exploratory,expon,"[5.0, 47.92]",2,-1826.0748576776975,3656.149715355395,3664.003567407336,KS_continuous,0.18841188068183945,3.954723764154914e-12
size_family,15x10,15,10,5,la,discrete,discrete_uniform_minmax,"{""low"": 5, ""high"": 99}",2,-3415.407668700406,6834.815337400812,6844.055483813872,chi2_uniform_minmax_bins10,5.66237037037037,0.7731760429154331
size_family,15x10,15,10,5,la,discrete,discrete_uniform_1_99,"{""low"": 1, ""high"": 99, ""fixed_support"": true}",0,-3446.3398876009423,6892.679775201885,6892.679775201885,chi2_uniform_1_99_bins10,12.42026666666667,0.19063986632897018
size_family,15x10,15,10,5,la,discrete,discrete_uniform_1_100,"{""low"": 1, ""high"": 100, ""fixed_support"": true}",0,-3453.8776394910687,6907.7552789821375,6907.7552789821375,chi2_uniform_1_100_bins10,14.053333333333333,0.12044066569363802
size_family,15x10,15,10,5,la,discrete,discrete_uniform_0_99,"{""low"": 0, ""high"": 99, ""fixed_support"": true}",0,-3453.8776394910687,6907.7552789821375,6907.7552789821375,chi2_uniform_0_99_bins10,12.96,0.16442458894528628
size_family,15x10,15,10,5,la,discrete,discrete_uniform_0_100,"{""low"": 0, ""high"": 100, ""fixed_support"": true}",0,-3461.340387630945,6922.68077526189,6922.68077526189,chi2_uniform_0_100_bins10,17.99053333333333,0.035283528524990865
size_family,15x10,15,10,5,la,discrete,poisson,"{""mu"": 51.516}",1,-8202.867484237311,16407.734968474622,16412.355041681152,,,
size_family,15x10,15,10,5,la,continuous_exploratory,uniform,"[5.0, 94.0]",2,-3407.471086702503,6818.942173405006,6828.182319818066,KS_continuous,0.024113475177304965,0.7662849612839573
size_family,15x10,15,10,5,la,continuous_exploratory,weibull_min,"[2.3168713756883452, -7.26224633532667, 66.4248353601464]",3,-3527.1925272824346,7060.385054564869,7074.24527418446,KS_continuous,0.07894466846869763,0.00016358459293883826
size_family,15x10,15,10,5,la,continuous_exploratory,norm,"[51.516, 27.35025430716626]",2,-3545.7482702103644,7095.496540420729,7104.7366868337895,KS_continuous,0.07255447411539695,0.000704205730841974
size_family,15x10,15,10,5,la,continuous_exploratory,lognorm,"[3.458006804570253e-06, -7909202.683779088, 7909254.1997318]",3,-3545.748284833803,7097.496569667606,7111.356789287197,KS_continuous,0.0725547333792198,0.0007041657881542811
size_family,15x10,15,10,5,la,continuous_exploratory,gamma,"[32716.16038216681, -4895.794400820656, 0.151219154004542]",3,-3545.7646811513846,7097.529362302769,7111.38958192236,KS_continuous,0.07282578586811561,0.000663548420631181
size_family,15x10,15,10,5,la,continuous_exploratory,expon,"[5.0, 46.516]",2,-3629.8472545730974,7263.694509146195,7272.934655559256,KS_continuous,0.16405394077707008,4.1621018987559684e-18
size_family,15x15,15,15,15,"la,ta",discrete,discrete_uniform_1_99,"{""low"": 1, ""high"": 99, ""fixed_support"": true}",0,-15508.52949420424,31017.05898840848,31017.05898840848,chi2_uniform_1_99_bins10,13.592533333333336,0.13757572916202515
