scope_type,scope_value,benchmark_family,jobs,machines,model_type,distribution,params,n_params,loglik,aic,bic,gof_test,gof_stat,gof_pvalue
file,la03,la,10,5,continuous_exploratory,uniform,"[7.0, 84.0]",2,-221.5408399421657,447.0816798843314,450.9057258951877,KS_continuous,0.08476190476190482,0.8353689309745024
file,la03,la,10,5,continuous_exploratory,weibull_min,"[2.1192489539234813, -2.8253742928971626, 57.00445383669423]",3,-230.73762556414295,467.4752511282859,473.2113201445703,KS_continuous,0.10176737272245484,0.6411487073754409
file,la03,la,10,5,continuous_exploratory,norm,"[47.66, 25.156001272062298]",2,-232.20175102264415,468.4035020452883,472.2275480561446,KS_continuous,0.09358585574095346,0.7383048176050824
file,la03,la,10,5,continuous_exploratory,lognorm,"[0.06913084209118346, -316.6909596637504, 363.48227519769097]",3,-232.14573798340672,470.29147596681344,476.02754498309787,KS_continuous,0.09030446068144471,0.7758552737243417
file,la03,la,10,5,continuous_exploratory,gamma,"[658.1711742898065, -597.2089249086926, 0.9797563025840832]",3,-232.16362401715406,470.3272480343081,476.06331705059256,KS_continuous,0.09269160437644786,0.7486650785824716
file,la03,la,10,5,continuous_exploratory,expon,"[7.0, 40.66]",2,-235.26224041001,474.52448082002,478.3485268308763,KS_continuous,0.1818476498426807,0.06420238019675895
file,la04,la,10,5,discrete,discrete_uniform_minmax,"{""low"": 5, ""high"": 98}",2,-227.1647391135002,458.3294782270004,462.1535242378567,chi2_uniform_minmax_bins10,17.763555555555552,0.03801794280081313
file,la04,la,10,5,discrete,discrete_uniform_1_99,"{""low"": 1, ""high"": 99, ""fixed_support"": true}",0,-229.75599250672948,459.51198501345897,459.51198501345897,chi2_uniform_1_99_bins10,15.098,0.08827901971383131
file,la04,la,10,5,discrete,discrete_uniform_1_100,"{""low"": 1, ""high"": 100, ""fixed_support"": true}",0,-230.25850929940458,460.51701859880916,460.51701859880916,chi2_uniform_1_100_bins10,15.200000000000003,0.08558679062301319
file,la04,la,10,5,discrete,discrete_uniform_0_99,"{""low"": 0, ""high"": 99, ""fixed_support"": true}",0,-230.25850929940458,460.51701859880916,460.51701859880916,chi2_uniform_0_99_bins10,10.0,0.35048521232336116
file,la04,la,10,5,discrete,discrete_uniform_0_100,"{""low"": 0, ""high"": 100, ""fixed_support"": true}",0,-230.756025842063,461.512051684126,461.512051684126,chi2_uniform_0_100_bins10,14.952181818181819,0.0922578623574054
file,la04,la,10,5,discrete,poisson,"{""mu"": 50.14}",1,-727.8728504432686,1457.7457008865372,1459.6577238919654,,,
file,la04,la,10,5,continuous_exploratory,uniform,"[5.0, 93.0]",2,-226.62997465766284,457.2599493153257,461.083995326182,KS_continuous,0.1879569892473118,0.05087869841610626
file,la04,la,10,5,continuous_exploratory,expon,"[5.0, 45.14]",2,-240.48843856946948,484.97687713893896,488.80092314979527,KS_continuous,0.22697102369427785,0.009571764234187041
file,la04,la,10,5,continuous_exploratory,weibull_min,"[1.1047843491007339, 4.842523939274925, 46.69963125060267]",3,-240.34709398930912,486.69418797861823,492.43025699490266,KS_continuous,0.21608570471379046,0.015758300088193233
file,la04,la,10,5,continuous_exploratory,norm,"[50.14, 32.00875505232904]",2,-244.24739969846448,492.49479939692895,496.31884540778526,KS_continuous,0.178687855171501,0.07218858101328052
file,la04,la,10,5,continuous_exploratory,lognorm,"[1.920854187871019e-05, -1666332.1872667556, 1666382.3269593343]",3,-244.2474304103787,494.4948608207574,500.23092983704186,KS_continuous,0.17868727428352604,0.07219012311134065
file,la04,la,10,5,continuous_exploratory,gamma,"[1366.5336128391923, -1134.2088586086668, 0.8666492388635583]",3,-244.27430025271082,494.54860050542163,500.28466952170606,KS_continuous,0.17772280935068008,0.07478922801270549
file,la05,la,10,5,discrete,discrete_uniform_minmax,"{""low"": 5, ""high"": 97}",2,-226.6299746576628,457.2599493153256,461.08399532618193,chi2_uniform_minmax_bins10,5.531333333333333,0.7857521839515926
file,la05,la,10,5,discrete,discrete_uniform_1_99,"{""low"": 1, ""high"": 99, ""fixed_support"": true}",0,-229.75599250672948,459.51198501345897,459.51198501345897,chi2_uniform_1_99_bins10,9.488000000000001,0.39349898620149737
file,la05,la,10,5,discrete,discrete_uniform_1_100,"{""low"": 1, ""high"": 100, ""fixed_support"": true}",0,-230.25850929940458,460.51701859880916,460.51701859880916,chi2_uniform_1_100_bins10,10.0,0.35048521232336116
file,la05,la,10,5,discrete,discrete_uniform_0_99,"{""low"": 0, ""high"": 99, ""fixed_support"": true}",0,-230.25850929940458,460.51701859880916,460.51701859880916,chi2_uniform_0_99_bins10,9.6,0.3838265173713841
file,la05,la,10,5,discrete,discrete_uniform_0_100,"{""low"": 0, ""high"": 100, ""fixed_support"": true}",0,-230.756025842063,461.512051684126,461.512051684126,chi2_uniform_0_100_bins10,10.434727272727272,0.31645055620997714
file,la05,la,10,5,discrete,poisson,"{""mu"": 45.66}",1,-501.9710858098033,1005.9421716196066,1007.8541946250348,,,
file,la05,la,10,5,continuous_exploratory,uniform,"[5.0, 92.0]",2,-226.08942885245204,456.1788577049041,460.0029037157604,KS_continuous,0.15652173913043477,0.15496712799313184
file,la05,la,10,5,continuous_exploratory,weibull_min,"[1.8614794240161614, 0.13774449238281267, 51.196171213201715]",3,-229.59208520159748,465.18417040319497,470.9202394194794,KS_continuous,0.05982151392765145,0.9892802732138273
