instance_id,jobs,machines,complexity_0_1,category,s_iforest,s_lof,s_mahalanobis,s_knn,complexity_prior_0_1,blend_w_unsup,blend_w_prior,blend_w_sup
31-2-0.pt,31,2,0.1718317851842283,hard,0.5459245013703519,0.10726220379737043,0.06851709446217981,0.021909168213540393,0.3165176679080557,0.7,0.3,0.0
31-20-0.pt,31,20,0.09617724934463255,medium,0.03435603414945794,0.10021580748576124,8.859924332662358e-07,0.004474141224280824,0.6344668669083781,0.7,0.3,0.0
31-21-0.pt,31,21,0.09994060854082794,medium,0.03238913522974466,0.10140448169135555,5.307155034136299e-07,0.0024432382092731664,0.6434683020728993,0.7,0.3,0.0
31-22-0.pt,31,22,0.15457313133742528,medium,0.034310418844852364,0.2174977618751596,1.2128739449497164e-06,0.005484754381372026,0.6519962862983562,0.7,0.3,0.0
31-23-0.pt,31,23,0.16880110101943593,hard,0.019988246527839065,0.25611040551509767,8.984323302423862e-07,0.004490339114324869,0.6604294299237375,0.7,0.3,0.0
31-24-0.pt,31,24,0.10602007053876539,medium,0.028003758224799703,0.0880747295420957,9.890545606948738e-07,0.0015057577228827787,0.6686613740781779,0.7,0.3,0.0
31-25-0.pt,31,25,0.11529493230427573,medium,0.026168344569485254,0.10221757793645007,8.688621638824577e-07,0.0011000451259191558,0.6766374739008781,0.7,0.3,0.0
31-26-0.pt,31,26,0.11438366375575838,medium,0.025167910306087424,0.09010153056023833,8.32930913496013e-07,0.0017136460136050915,0.6844074900356368,0.7,0.3,0.0
31-27-0.pt,31,27,0.11434390305916846,medium,0.015530527868240765,0.08972384898957382,5.236057220658097e-07,0.000725080048625377,0.6926396926209523,0.7,0.3,0.0
31-28-0.pt,31,28,0.12257458927673463,medium,0.03251047314144882,0.08209335743746593,4.410587294979096e-07,0.0011330354357426385,0.7003249140989943,0.7,0.3,0.0
31-29-0.pt,31,29,0.12922906538757256,medium,0.026014331411448405,0.09402090996486587,4.074837265623944e-07,0.0017334531557622618,0.7079398733810499,0.7,0.3,0.0
31-3-0.pt,31,3,0.08021111649227251,easy,0.4271477647933975,0.010802620068056075,0.014927440243956801,0.010360567312723699,0.3605997186761965,0.7,0.3,0.0
31-30-0.pt,31,30,0.1436141666655824,medium,0.02895830298579474,0.11674023965020196,8.428909235757447e-07,0.0018206013513182573,0.7148073741959523,0.7,0.3,0.0
31-31-0.pt,31,31,0.14910521639753832,medium,0.03616087939099521,0.11330177132417697,9.562514929680819e-07,0.0013515685675441192,0.7223604571550748,0.7,0.3,0.0
31-32-0.pt,31,32,0.14180888543413295,medium,0.03344598315328692,0.0897240623401101,4.60653518443388e-07,0.0010953930392252622,0.7290568787136628,0.7,0.3,0.0
