instance_id,jobs,machines,complexity_0_1,category,s_iforest,s_lof,s_knn,s_km,complexity_prior_0_1,complexity_unsupervised_0_1,complexity_supervised_0_1,cv_r2_mean_supervised,status,blend_w_unsup,blend_w_prior,blend_w_sup
33-39-0.pt,33,39,0.6510544656596873,hard,0.09986544650898707,0.04831569288537454,0.1417342687497569,0.325,0.7919246498607333,0.325,21.964193141183234,0.9906380919768368,1.0,0.35,0.15,0.5
33-4-0.pt,33,4,0.22545964909971103,medium,0.2506043361677539,0.16701731211577983,0.033208935257224986,0.8433333333333334,0.4037434784585646,0.8433333333333334,8.1352238575292,0.9906380919768368,1.0,0.35,0.15,0.5
33-40-0.pt,33,40,0.7017847559071693,hard,0.09160372584061982,0.04789335377618097,0.14522100984170222,0.22041666666666668,0.798203910743131,0.22041666666666668,23.66950523534208,0.9906380919768368,1.0,0.35,0.15,0.5
33-41-0.pt,33,41,0.664965905262364,hard,0.09885282567289859,0.05496563608247074,0.14985368628772414,0.06416666666666666,0.8049585846842696,0.06416666666666666,22.647686574579907,0.9906380919768368,1.0,0.35,0.15,0.5
33-42-0.pt,33,42,0.7436903697405988,hard,0.10621292285884491,0.05572410484405385,0.15497279849343948,0.36666666666666664,0.8109181386252764,0.36666666666666664,24.854187358714466,0.9906380919768368,1.0,0.35,0.15,0.5
33-43-0.pt,33,43,0.7561956953538994,hard,0.10435383318601922,0.054873551627806126,0.161180176525572,0.39375,0.8175563879229664,0.39375,25.22228445975245,0.9906380919768368,1.0,0.35,0.15,0.5
33-44-0.pt,33,44,0.7456352311207175,hard,0.11619410930085952,0.060662789523260124,0.16901107481141114,0.19458333333333333,0.8240675299215139,0.19458333333333333,25.073918784987395,0.9906380919768368,1.0,0.35,0.15,0.5
33-45-0.pt,33,45,0.7676295125007352,hard,0.16387071552677107,0.06755520373648288,0.17784267459845693,0.14,0.8304993852899009,0.14,25.820528092969052,0.9906380919768368,1.0,0.35,0.15,0.5
33-46-0.pt,33,46,0.7945920305227869,hard,0.18191284052493997,0.07074028003872329,0.187407445743676,0.16375,0.8366081186532285,0.16375,26.6504136875918,0.9906380919768368,1.0,0.35,0.15,0.5
33-47-0.pt,33,47,0.8117564989511304,hard,0.20769108873654302,0.07881602036777494,0.19848448334817484,0.33875,0.842609331185031,0.33875,27.026035685288765,0.9906380919768368,1.0,0.35,0.15,0.5
33-48-0.pt,33,48,0.8199250177430011,hard,0.22517109269037683,0.08782055000996836,0.21155617361335133,0.3416666666666667,0.8492135739504814,0.3416666666666667,27.279584879246908,0.9906380919768368,1.0,0.35,0.15,0.5
33-49-0.pt,33,49,0.8306105641026227,hard,0.23304252602460498,0.09405500947567269,0.22462655475610824,0.044583333333333336,0.8549733060039306,0.044583333333333336,27.89817651146864,0.9906380919768368,1.0,0.35,0.15,0.5
33-5-0.pt,33,5,0.23984067731534747,medium,0.24600830963219414,0.15175130787595711,0.03811927056136023,0.5079166666666667,0.4324199910086249,0.5079166666666667,8.898067262314528,0.9906380919768368,1.0,0.35,0.15,0.5
33-50-0.pt,33,50,0.8446822489942238,hard,0.26688386972637834,0.10809007768144947,0.23895147300220773,0.1725,0.8606137385295206,0.1725,28.220591344778708,0.9906380919768368,1.0,0.35,0.15,0.5
33-6-0.pt,33,6,0.2447313011427616,medium,0.15098889371965132,0.13701398692845956,0.042982574519804216,0.6158333333333333,0.45608076944973913,0.6158333333333333,8.941028314017762,0.9906380919768368,1.0,0.35,0.15,0.5
33-7-0.pt,33,7,0.25452078576623005,medium,0.143074660582799,0.12390772472150909,0.047502617391175284,0.38083333333333336,0.4772301827341484,0.38083333333333336,9.4659881307622,0.9906380919768368,1.0,0.35,0.15,0.5
33-8-0.pt,33,8,0.2639720213642769,medium,0.11711845090334351,0.11735651255737788,0.05247010832232288,0.6683333333333333,0.4961976628299619,0.6683333333333333,9.48492908060336,0.9906380919768368,1.0,0.35,0.15,0.5
33-9-0.pt,33,9,0.26594385228168327,medium,0.11801935103420155,0.10862238440737361,0.05638052679698611,0.32708333333333334,0.5135318693782934,0.32708333333333334,9.864458252188548,0.9906380919768368,1.0,0.35,0.15,0.5
34-10-0.pt,34,10,0.28057065271320003,medium,0.11404650884047102,0.10132010728110304,0.06298419330244849,0.47125,0.5334995825702712,0.47125,10.183212179862903,0.9906380919768368,1.0,0.35,0.15,0.5
34-11-0.pt,34,11,0.29324633334309314,medium,0.09359869467097963,0.09290109599561219,0.06722407639078967,0.6320833333333333,0.548871747285028,0.6320833333333333,10.426143298025789,0.9906380919768368,1.0,0.35,0.15,0.5
34-12-0.pt,34,12,0.3086265017562702,medium,0.0818502761687753,0.09014771513238029,0.07123910816314227,0.30666666666666664,0.5621030928478985,0.30666666666666664,11.217457004127699,0.9906380919768368,1.0,0.35,0.15,0.5
34-13-0.pt,34,13,0.32841287178502304,medium,0.06292468400796575,0.08436661645871998,0.07478512424577817,0.27625,0.5754809418660803,0.27625,11.868281723710368,0.9906380919768368,1.0,0.35,0.15,0.5
34-14-0.pt,34,14,0.32672472473094166,medium,0.043345609936910924,0.07981465589088825,0.07848035927467281,0.17291666666666666,0.5880539554996292,0.17291666666666666,11.907765505554355,0.9906380919768368,1.0,0.35,0.15,0.5
